user_snippet,x-axis__sum_values,x-axis__median,x-axis__mean,x-axis__length,x-axis__standard_deviation,x-axis__variance,x-axis__root_mean_square,x-axis__maximum,x-axis__absolute_maximum,x-axis__minimum,y-axis__sum_values,y-axis__median,y-axis__mean,y-axis__length,y-axis__standard_deviation,y-axis__variance,y-axis__root_mean_square,y-axis__maximum,y-axis__absolute_maximum,y-axis__minimum,z-axis__sum_values,z-axis__median,z-axis__mean,z-axis__length,z-axis__standard_deviation,z-axis__variance,z-axis__root_mean_square,z-axis__maximum,z-axis__absolute_maximum,z-axis__minimum
8054_0,880.46,8.559999999999999,8.8046,100.0,5.146707572808076,26.488598839999998,10.198508714513117,19.53,19.53,-1.04,517.84,4.615,5.1784,100.0,3.8064767751820057,14.489265440000002,6.426903764644371,17.24,17.24,-2.49,-6.605867290000002,-0.7627395,-0.06605867290000002,100.0,3.0587992731793436,9.356252993602482,3.05951250068827,9.615966,9.615966,-9.152874
8054_1,552.8799999999999,5.52,5.528799999999999,100.0,0.039173460403696625,0.0015345599999999873,5.528938777016797,5.63,5.63,5.43,251.05000000000004,2.53,2.5105000000000004,100.0,0.02833284313301423,0.0008027499999999916,2.510659873419735,2.56,2.56,2.45,823.6700000000001,8.24,8.2367,100.0,0.037444759312886634,0.0014021100000000102,8.236785113137286,8.31,8.31,8.12
8054_2,848.84,8.045,8.4884,100.0,4.789061853849875,22.935113439999995,9.74618120086016,19.57,19.57,-1.5,528.3299999999999,4.805,5.2833,100.0,3.656953391827684,13.373308110000004,6.42546239581246,14.29,14.29,-2.79,-7.995143741999997,-0.21111539,-0.07995143741999997,100.0,3.1788909309858577,10.105347551104133,3.1798961906719,9.656827,9.656827,-7.014479
8054_3,100.93,0.99,1.0093,100.0,0.04452538601741711,0.001982510000000003,1.0102816438993634,1.12,1.12,0.89,992.36,9.92,9.9236,100.0,0.020372530525195092,0.00041504000000000584,9.923620911743859,10.0,10.0,9.89,29.77,0.31,0.2977,100.0,0.03205791633902615,0.00102771,0.29942110814035805,0.34,0.34,0.19
8054_4,845.5200000000001,7.97,8.455200000000001,100.0,4.858636121382213,23.60634496,9.751756354626586,19.57,19.57,-2.45,523.3199999999999,4.77,5.233199999999999,100.0,3.628599421264353,13.16673376,6.36813285037302,15.51,15.51,-2.83,1.757023789999997,-0.48352233999999994,0.01757023789999997,100.0,3.475728186888285,12.080686429129724,3.4757725964725577,10.310603,10.310603,-9.956474
8054_5,600.28,5.09,6.0028,100.0,4.810119765660726,23.13725216,7.692259746004422,18.43,18.43,-2.49,858.8599999999999,7.59,8.5886,100.0,3.761375551576843,14.147946039999999,9.376139717389028,19.34,19.34,2.79,70.17203112000001,-0.6946377,0.7017203112000001,100.0,4.4085695292502445,19.435485294233725,4.464067281010038,13.484144,13.484144,-5.8976107
8054_6,544.7699999999999,5.43,5.447699999999998,100.0,0.05120263665086003,0.002621709999999995,5.447940620087557,5.56,5.56,5.28,256.25,2.56,2.5625,100.0,0.03024483426967329,0.0009147500000000039,2.562678481589136,2.64,2.64,2.45,825.3199999999998,8.24,8.253199999999998,100.0,0.03215213834257373,0.0010337599999999999,8.253262627591587,8.31,8.31,8.16
8054_7,859.07,8.28,8.5907,100.0,4.385385788046475,19.23160851,9.645296003752295,19.57,19.57,-0.69,484.32000000000005,4.33,4.8432,100.0,3.4733873610641246,12.064419760000003,5.959950167576907,15.09,15.09,-2.96,11.509193359999998,-0.36093922,0.11509193359999997,100.0,3.145673717013324,9.895263133908422,3.147778468553371,10.760075,10.760075,-8.308413
8054_8,889.5699999999999,8.35,8.8957,100.0,4.7035234144203,22.12313251,10.062634396618014,19.57,19.57,-0.15,489.55,4.86,4.8955,100.0,3.737345414863336,13.96775075,6.1590316609025475,13.67,13.67,-4.79,2.6287279919999986,-0.27240697,0.026287279919999986,100.0,2.544299388501087,6.473459378327005,2.5444351827886273,9.112013,9.112013,-4.5900574
8054_9,864.13,8.08,8.6413,100.0,4.477808092136152,20.05076531,9.732565489119505,19.57,19.57,-1.8,483.6700000000001,4.48,4.8367,100.0,3.4692812094149996,12.035912110000002,5.952275111249479,13.48,13.48,-5.13,-36.48891174,-0.36093922,-0.36488911739999996,100.0,2.7075896637017145,7.331041786984364,2.732066224486756,10.882658,10.882658,-7.1234417
8054_10,879.0600000000001,8.26,8.790600000000001,100.0,4.2318033555447725,17.908159639999997,9.756167690235753,19.53,19.53,-1.18,474.08,4.195,4.7408,100.0,3.5948328695504053,12.92282336,5.949622509033662,15.13,15.13,-3.95,42.917716633999994,-0.25197644,0.4291771663399999,100.0,3.0351675987895246,9.212242352741768,3.065360564900873,11.413852,11.413852,-5.8158884
8054_11,472.34,3.95,4.7234,100.0,4.825809614976538,23.28843844,6.752699164038036,15.36,15.36,-3.91,967.9800000000001,9.6,9.679800000000002,100.0,3.773911228420722,14.242405960000001,10.389462642504665,19.5,19.5,-1.69,65.07801983,-0.306457825,0.6507801983,100.0,4.329299743511226,18.742836269166364,4.377939142526509,14.437569,14.437569,-7.5865335
8054_12,554.0600000000001,5.56,5.5406,100.0,0.08244780166869209,0.006797639999999985,5.541213405022405,5.71,5.71,5.33,256.77,2.56,2.5677,100.0,0.050534245814101174,0.002553710000000002,2.568197227628751,2.68,2.68,2.45,823.7899999999998,8.24,8.237899999999998,100.0,0.050125741889771674,0.0025125900000000107,8.23805250043965,8.43,8.43,8.12
8054_13,886.93,8.18,8.869299999999999,100.0,4.811598955648735,23.151484509999996,10.09038983389641,19.57,19.57,-0.95,499.4800000000001,3.965,4.994800000000001,100.0,4.520200986681898,20.43221696,6.736486027596286,16.25,16.25,-5.13,6.006574545999997,-0.190684875,0.060065745459999965,100.0,3.2655351846071055,10.663720041906961,3.2660875578717463,10.038197,10.038197,-7.8861814
8054_14,850.1199999999999,8.030000000000001,8.501199999999999,100.0,4.60858531004906,21.239058559999993,9.670028955489222,19.57,19.57,-1.12,504.25000000000006,4.48,5.0425,100.0,3.4907974375491913,12.185666750000001,6.132900863376156,14.75,14.75,-3.68,24.625588816000004,-0.21111539,0.24625588816000005,100.0,3.0291259270399156,9.175603881865428,3.0391192547050365,8.349273,8.349273,-8.049625
8054_15,303.09999999999997,2.76,3.0309999999999997,100.0,2.337451817685233,5.463681,3.827615706938198,10.99,10.99,-2.96,940.36,8.73,9.4036,100.0,3.1810169820357768,10.118869040000002,9.92706210316023,16.04,16.04,2.96,-93.51730862000001,-0.74230895,-0.9351730862000001,100.0,1.795593986827437,3.22415776553085,2.024526232648933,3.5957718,6.4015636,-6.4015636
8054_16,835.62,8.2,8.3562,100.0,5.175123337660659,26.781901559999998,9.82893585287848,19.57,19.57,-4.25,567.7600000000001,4.805,5.677600000000001,100.0,3.705835970466043,13.733220239999998,6.7799971976395375,17.2,17.2,-1.61,-8.785124815999998,-0.5175732049999999,-0.08785124815999998,100.0,3.2333571676278665,10.454598573450498,3.234550419340186,9.00305,9.00305,-7.6954966
8054_17,845.0099999999998,7.855,8.450099999999997,100.0,5.111379167113315,26.126196990000004,9.87574741475297,19.57,19.57,-1.73,528.0100000000002,4.48,5.280100000000002,100.0,3.7328877548086012,13.93445099,6.466367372799042,17.39,17.39,-2.34,-26.53243443999999,-0.8036005,-0.2653243443999999,100.0,3.8661181239706535,14.946869348494364,3.875211782112773,10.147159,12.026767,-12.026767
8054_18,852.91,8.254999999999999,8.5291,100.0,4.212257612017575,17.743114190000007,9.512552811942754,19.57,19.57,-1.27,503.98,4.37,5.0398000000000005,100.0,3.2409387467213877,10.50368396,5.991933577735988,15.64,15.64,-3.95,-18.292127138000005,-0.551624075,-0.18292127138000006,100.0,3.2001616787100797,10.241034769884514,3.2053853062319653,7.8589406,13.715691,-13.715691
8054_19,540.76,5.41,5.4075999999999995,100.0,0.05314357910415889,0.0028242399999999935,5.407861129873806,5.56,5.56,5.24,252.75000000000003,2.53,2.5275000000000003,100.0,0.026584770076116822,0.0007067499999999964,2.527639808200527,2.6,2.6,2.45,828.6399999999999,8.28,8.286399999999999,100.0,0.03968677361539997,0.0015750400000000074,8.286495037107064,8.39,8.39,8.2
8054_20,832.8399999999999,7.89,8.328399999999998,100.0,4.290712696044796,18.41021544,9.368695853746134,19.57,19.57,-1.69,529.8399999999998,4.6899999999999995,5.298399999999998,100.0,3.627673557529674,13.16001544,6.421297220967115,14.33,14.33,-5.94,-22.732359986,-0.129393305,-0.22732359985999998,100.0,2.977119343514465,8.863239585528,2.9857855925336145,7.273266,7.4639506,-7.4639506
8054_21,851.6000000000001,7.6850000000000005,8.516000000000002,100.0,4.922200524155837,24.228058,9.836173747957078,19.57,19.57,-1.76,484.04999999999995,4.039999999999999,4.8405,100.0,4.387364898204844,19.248970749999998,6.532948109391348,17.08,17.08,-5.56,-3.050959511999999,-0.47671217,-0.03050959511999999,100.0,3.310739885945062,10.960998592387522,3.310880461113314,9.888372,9.888372,-9.575105
8054_22,540.6999999999998,5.41,5.406999999999998,100.0,0.03548238999842033,0.001258999999999999,5.4071164219017875,5.52,5.52,5.33,252.95000000000002,2.53,2.5295,100.0,0.023339880033967555,0.0005447499999999973,2.5296076770914495,2.56,2.56,2.49,823.3000000000001,8.24,8.233,100.0,0.03442382895611706,0.0011850000000000033,8.23307196616184,8.31,8.31,8.16
8054_23,548.58,4.86,5.4858,100.0,4.5396412148979355,20.60834236,7.120557843315368,17.31,17.31,-2.22,875.9,8.14,8.759,100.0,3.928231535945915,15.431003000000002,9.59953561376799,19.31,19.31,-1.18,64.56044844200001,-0.46309182,0.6456044844200001,100.0,4.178618367844299,17.460851464085753,4.228197797453304,11.454713,11.454713,-7.4639506
